"Name","Purpose","Source","Price","Link","Total"
"Gateron KS-33 Banana Switches","To complete a circuit when pressed","Amazon","$20","https://www.amazon.com/gp/product/B0D22TVSZZ/ref=ox_sc_act_title_7?smid=A3TKBP5XSITCSE&psc=1 ",""
"XVX Low-Profile Keycaps","To make activating keyswitches more comfortable","Amazon","$13","https://www.amazon.com/gp/product/B0DHZRD5H1/ref=ox_sc_act_title_2?smid=AFB5KTL5FE772&th=1",""
"1N4148 Diodes","To prevent ghosting","Aliexpress","$0.96","https://www.aliexpress.com/item/3256806021685533.html?spm=a2g0o.cart.0.0.1e9838daxaHgEB&mp=1&pdp_npi=5%40dis%21USD%21USD%200.96%21USD%200.96%21%21USD%200.96%21%21%21%402101c67a17517354003041769e3ffd%2112000039153703488%21ct%21US%216369324848%21%211%210&_gl=1*dhohum*_gcl_aw*R0NMLjE3NDg2NDY3NzguQ2p3S0NBandydVhCQmhBckVpd0FDQlJ0SGY0Y1FsdERxTktaektpTjZvQXhCbXFSMlVYNXRxb3pmckRVNE92VTQ4VkNDU2xpWFhZYlFob0NZMzRRQXZEX0J3RQ..*_gcl_dc*R0NMLjE3NDg2NDY3NzguQ2p3S0NBandydVhCQmhBckVpd0FDQlJ0SGY0Y1FsdERxTktaektpTjZvQXhCbXFSMlVYNXRxb3pmckRVNE92VTQ4VkNDU2xpWFhZYlFob0NZMzRRQXZEX0J3RQ..*_gcl_au*Mjc3OTY4OTE5LjE3NDcyNzI0MDM.*_ga*MTg4Nzg1MzEwLjE3NTE2Njc3MDQ.*_ga_VED1YSGNC7*czE3NTE3MzM0MjkkbzMkZzEkdDE3NTE3MzU0MDEkajYwJGwwJGgw",""
"M3 x L12 Screw","Tenting","Aliexpress","$1.59","https://www.aliexpress.com/item/2255800598515019.html?spm=a2g0o.cart.0.0.6b6638daq4cyGf&mp=1&pdp_npi=5%40dis%21USD%21USD%201.63%21USD%201.59%21%21USD%201.59%21%21%21%402103247417516677501702212e7532%2112000036122606126%21ct%21US%216369324848%21%211%210&_gl=1*1gflyaa*_gcl_aw*R0NMLjE3NDg2NDY3NzguQ2p3S0NBandydVhCQmhBckVpd0FDQlJ0SGY0Y1FsdERxTktaektpTjZvQXhCbXFSMlVYNXRxb3pmckRVNE92VTQ4VkNDU2xpWFhZYlFob0NZMzRRQXZEX0J3RQ..*_gcl_dc*R0NMLjE3NDg2NDY3NzguQ2p3S0NBandydVhCQmhBckVpd0FDQlJ0SGY0Y1FsdERxTktaektpTjZvQXhCbXFSMlVYNXRxb3pmckRVNE92VTQ4VkNDU2xpWFhZYlFob0NZMzRRQXZEX0J3RQ..*_gcl_au*Mjc3OTY4OTE5LjE3NDcyNzI0MDM.*_ga*MTg4Nzg1MzEwLjE3NTE2Njc3MDQ.*_ga_VED1YSGNC7*czE3NTE2Njc3MDMkbzEkZzEkdDE3NTE2Njc3NTEkajEyJGwwJGgw",""
"M3 x L30 Screws","Tenting","Aliexpress","$2.41","https://www.aliexpress.com/item/2255800598515019.html?spm=a2g0o.cart.0.0.6b6638daq4cyGf&mp=1&pdp_npi=5%40dis%21USD%21USD%202.49%21USD%202.41%21%21USD%202.41%21%21%21%402103247417516677501702212e7532%2112000036122606133%21ct%21US%216369324848%21%211%210&_gl=1*1gflyaa*_gcl_aw*R0NMLjE3NDg2NDY3NzguQ2p3S0NBandydVhCQmhBckVpd0FDQlJ0SGY0Y1FsdERxTktaektpTjZvQXhCbXFSMlVYNXRxb3pmckRVNE92VTQ4VkNDU2xpWFhZYlFob0NZMzRRQXZEX0J3RQ..*_gcl_dc*R0NMLjE3NDg2NDY3NzguQ2p3S0NBandydVhCQmhBckVpd0FDQlJ0SGY0Y1FsdERxTktaektpTjZvQXhCbXFSMlVYNXRxb3pmckRVNE92VTQ4VkNDU2xpWFhZYlFob0NZMzRRQXZEX0J3RQ..*_gcl_au*Mjc3OTY4OTE5LjE3NDcyNzI0MDM.*_ga*MTg4Nzg1MzEwLjE3NTE2Njc3MDQ.*_ga_VED1YSGNC7*czE3NTE2Njc3MDMkbzEkZzEkdDE3NTE2Njc3NTEkajEyJGwwJGgw",""
"M3 x L4 Heatset Insert","To hold the tenting screws in place","Aliexpress","$2.04","https://www.aliexpress.com/item/3256803396040989.html?spm=a2g0o.cart.0.0.1e9838da38rWg8&mp=1&pdp_npi=5%40dis%21USD%21USD%202.28%21USD%202.04%21%21USD%202.04%21%21%21%40210318e817517340537932282e1693%2112000026370649758%21ct%21US%216369324848%21%211%210&_gl=1*1ylspev*_gcl_aw*R0NMLjE3NDg2NDY3NzguQ2p3S0NBandydVhCQmhBckVpd0FDQlJ0SGY0Y1FsdERxTktaektpTjZvQXhCbXFSMlVYNXRxb3pmckRVNE92VTQ4VkNDU2xpWFhZYlFob0NZMzRRQXZEX0J3RQ..*_gcl_dc*R0NMLjE3NDg2NDY3NzguQ2p3S0NBandydVhCQmhBckVpd0FDQlJ0SGY0Y1FsdERxTktaektpTjZvQXhCbXFSMlVYNXRxb3pmckRVNE92VTQ4VkNDU2xpWFhZYlFob0NZMzRRQXZEX0J3RQ..*_gcl_au*Mjc3OTY4OTE5LjE3NDcyNzI0MDM.*_ga*MTg4Nzg1MzEwLjE3NTE2Njc3MDQ.*_ga_VED1YSGNC7*czE3NTE3MzM0MjkkbzMkZzEkdDE3NTE3MzQwNDIkajMyJGwwJGgw",""
"Rubber Bumpers","To allow the two halves of the keyboard to communicate","Aliexpress","$2.03","https://www.aliexpress.com/item/3256807001730403.html?spm=a2g0o.cart.0.0.6b6638daq4cyGf&mp=1&pdp_npi=5%40dis%21USD%21USD%204.07%21USD%202.03%21%21USD%202.03%21%21%21%402103247417516677501702212e7532%2112000039741245028%21ct%21US%216369324848%21%211%210&_gl=1*1lnn9fa*_gcl_aw*R0NMLjE3NDg2NDY3NzguQ2p3S0NBandydVhCQmhBckVpd0FDQlJ0SGY0Y1FsdERxTktaektpTjZvQXhCbXFSMlVYNXRxb3pmckRVNE92VTQ4VkNDU2xpWFhZYlFob0NZMzRRQXZEX0J3RQ..*_gcl_dc*R0NMLjE3NDg2NDY3NzguQ2p3S0NBandydVhCQmhBckVpd0FDQlJ0SGY0Y1FsdERxTktaektpTjZvQXhCbXFSMlVYNXRxb3pmckRVNE92VTQ4VkNDU2xpWFhZYlFob0NZMzRRQXZEX0J3RQ..*_gcl_au*Mjc3OTY4OTE5LjE3NDcyNzI0MDM.*_ga*MTg4Nzg1MzEwLjE3NTE2Njc3MDQ.*_ga_VED1YSGNC7*czE3NTE2Njc3MDMkbzEkZzEkdDE3NTE2Njc5ODMkajUzJGwwJGgw",""
"26awg wire","To connect everything","Aliexpress","$1.73","https://www.aliexpress.com/item/3256805135541457.html?spm=a2g0o.cart.0.0.6b6638daq4cyGf&mp=1&pdp_npi=5%40dis%21USD%21USD%202.72%21USD%202.53%21%21USD%202.53%21%21%21%402103247417516677501702212e7532%2112000041482104473%21ct%21US%216369324848%21%211%210&_gl=1*dj12ts*_gcl_aw*R0NMLjE3NDg2NDY3NzguQ2p3S0NBandydVhCQmhBckVpd0FDQlJ0SGY0Y1FsdERxTktaektpTjZvQXhCbXFSMlVYNXRxb3pmckRVNE92VTQ4VkNDU2xpWFhZYlFob0NZMzRRQXZEX0J3RQ..*_gcl_dc*R0NMLjE3NDg2NDY3NzguQ2p3S0NBandydVhCQmhBckVpd0FDQlJ0SGY0Y1FsdERxTktaektpTjZvQXhCbXFSMlVYNXRxb3pmckRVNE92VTQ4VkNDU2xpWFhZYlFob0NZMzRRQXZEX0J3RQ..*_gcl_au*Mjc3OTY4OTE5LjE3NDcyNzI0MDM.*_ga*MTg4Nzg1MzEwLjE3NTE2Njc3MDQ.*_ga_VED1YSGNC7*czE3NTE2Njc3MDMkbzEkZzEkdDE3NTE2NjgwMzIkajQkbDAkaDA.",""
"Wire Stripper","To create gaps in wire insulation","Amazon","$7","https://www.amazon.com/gp/product/B07D25N45F/ref=ox_sc_act_title_5?smid=ATB7GMXHTWNOH&psc=1",""
"2.0 JST Receptacle","To connect the battery to the MCU","Aliexpress","$1.69","https://www.aliexpress.com/item/3256803204628036.html?spm=a2g0o.cart.0.0.6b6638daq4cyGf&mp=1&pdp_npi=5%40dis%21USD%21USD%201.74%21USD%201.69%21%21USD%201.69%21%21%21%402103247417516677501702212e7532%2112000025564240286%21ct%21US%216369324848%21%211%210&_gl=1*kjoaut*_gcl_aw*R0NMLjE3NDg2NDY3NzguQ2p3S0NBandydVhCQmhBckVpd0FDQlJ0SGY0Y1FsdERxTktaektpTjZvQXhCbXFSMlVYNXRxb3pmckRVNE92VTQ4VkNDU2xpWFhZYlFob0NZMzRRQXZEX0J3RQ..*_gcl_dc*R0NMLjE3NDg2NDY3NzguQ2p3S0NBandydVhCQmhBckVpd0FDQlJ0SGY0Y1FsdERxTktaektpTjZvQXhCbXFSMlVYNXRxb3pmckRVNE92VTQ4VkNDU2xpWFhZYlFob0NZMzRRQXZEX0J3RQ..*_gcl_au*Mjc3OTY4OTE5LjE3NDcyNzI0MDM.*_ga*MTg4Nzg1MzEwLjE3NTE2Njc3MDQ.*_ga_VED1YSGNC7*czE3NTE2Njc3MDMkbzEkZzEkdDE3NTE2NjgxMDIkajU5JGwwJGgw",""
